iter	Passed	Remaining
400	23214	34676
401	23282	34634
402	23348	34588
403	23418	34548
404	23483	34501
405	23552	34458
406	23609	34399
407	23678	34356
408	23750	34319
409	23814	34270
410	23873	34212
411	23943	34171
412	24009	34124
413	24068	34067
414	24139	34027
415	24200	33974
416	24259	33916
417	24318	33859
418	24383	33810
419	24445	33757
420	24512	33712
421	24574	33658
422	24633	33601
423	24701	33556
424	24765	33506
425	24838	33468
426	24909	33426
427	25005	33418
428	25078	33379
429	25147	33334
430	25209	33280
431	25272	33228
432	25331	33171
433	25394	33118
434	25459	33067
435	25523	33016
436	25587	32965
437	25654	32916
438	25723	32872
439	25783	32815
440	25847	32764
441	25920	32723
442	25983	32670
443	26049	32620
444	26113	32568
445	26179	32518
446	26243	32466
447	26303	32409
448	26371	32362
449	26433	32307
450	26505	32265
451	26580	32225
452	26648	32178
453	26708	32120
454	26770	32065
455	26840	32020
456	26908	31971
457	26969	31916
458	27029	31858
459	27090	31802
460	27147	31741
461	27203	31678
462	27258	31615
463	27324	31564
464	27387	31510
465	27448	31453
466	27511	31399
467	27572	31343
468	27630	31283
469	27701	31237
470	27763	31182
471	27831	31133
472	27889	31073
473	27952	31019
474	28019	30968
475	28082	30914
476	28143	30857
477	28208	30804
478	28271	30750
479	28341	30703
480	28397	30641
481	28461	30587
482	28535	30544
483	28590	30480
484	28651	30424
485	28712	30366
486	28768	30304
487	28822	30239
488	28885	30185
489	28946	30127
490	29011	30075
491	29072	30017
492	29128	29955
493	29183	29892
494	29247	29838
495	29310	29783
496	29371	29725
497	29433	29670
498	29489	29607
499	29538	29538
500	29580	29462
501	29631	29395
502	29682	29328
503	29729	29258
504	29774	29185
505	29840	29132
506	29898	29072
507	29949	29005
508	30001	28940
509	30055	28877
510	30104	28808
511	30152	28738
512	30201	28671
513	30246	28598
514	30300	28535
515	30344	28462
516	30396	28397
517	30447	28331
518	30499	28266
519	30550	28200
520	30601	28134
521	30651	28067
522	30701	28001
523	30750	27933
524	30792	27859
525	30843	27794
526	30886	27721
527	30934	27653
528	30987	27589
529	31042	27527
530	31091	27460
531	31145	27398
532	31201	27337
533	31249	27270
534	31312	27215
535	31364	27151
536	31417	27088
537	31471	27025
538	31520	26959
539	31572	26894
540	31617	26825
541	31662	26755
542	31711	26689
543	31768	26629
544	31821	26566
545	31871	26501
546	31914	26430
547	31960	26361
548	32009	26295
549	32056	26228
550	32105	26162
551	32153	26095
552	32198	26026
553	32248	25961
554	32298	25896
555	32345	25829
556	32393	25763
557	32448	25702
558	32492	25633
559	32536	25564
560	32582	25496
561	32627	25428
562	32677	25364
563	32725	25298
564	32776	25235
565	32830	25173
566	32881	25110
567	32936	25050
568	32982	24983
569	33029	24916
570	33079	24852
571	33130	24790
572	33174	24721
573	33215	24651
574	33265	24587
575	33313	24522
576	33359	24455
577	33410	24392
578	33453	24324
579	33497	24256
580	33546	24192
581	33601	24133
582	33658	24074
583	33725	24023
584	33778	23962
585	33827	23898
586	33878	23836
587	33971	23802
588	34029	23745
589	34092	23691
590	34138	23625
591	34187	23561
592	34234	23496
593	34284	23433
594	34332	23369
595	34378	23303
596	34434	23244
597	34487	23183
598	34539	23122
599	34588	23059
600	34640	22997
601	34694	22937
602	34739	22871
603	34788	22808
604	34834	22743
605	34881	22678
606	34931	22616
607	34978	22552
608	35028	22489
609	35078	22427
610	35128	22365
611	35179	22303
612	35228	22240
613	35273	22175
614	35326	22115
615	35378	22054
616	35427	21991
617	35475	21928
618	35526	21867
619	35577	21805
620	35628	21744
621	35676	21681
622	35727	21619
623	35787	21564
624	35835	21501
625	35881	21437
626	35932	21375
627	35978	21312
628	36029	21250
629	36075	21186
630	36124	21124
631	36187	21071
632	36238	21010
633	36282	20945
634	36331	20883
635	36379	20821
636	36431	20760
637	36484	20701
638	36534	20639
639	36583	20578
640	36686	20546
641	36805	20524
642	36916	20496
643	37041	20476
644	37118	20429
645	37182	20375
646	37246	20321
647	37311	20267
648	37367	20209
649	37425	20152
650	37492	20099
651	37557	20046
652	37621	19991
653	37680	19935
654	37744	19880
655	37802	19823
656	37859	19765
657	37918	19708
658	37983	19654
659	38044	19598
660	38096	19537
661	38152	19479
662	38204	19418
663	38264	19362
664	38326	19307
665	38383	19249
666	38445	19193
667	38507	19138
668	38562	19079
669	38619	19021
670	38682	18966
671	38741	18909
672	38797	18851
673	38854	18792
674	38917	18737
675	38983	18684
676	39046	18629
677	39102	18570
678	39173	18519
679	39238	18465
680	39307	18412
681	39374	18359
682	39435	18302
683	39506	18251
684	39566	18194
685	39626	18138
686	39687	18081
687	39753	18027
688	39821	17974
689	39880	17917
690	39942	17861
691	40010	17808
692	40073	17752
693	40138	17697
694	40197	17640
695	40255	17582
696	40309	17523
697	40377	17469
698	40443	17415
699	40512	17362
700	40574	17306
701	40637	17250
702	40697	17193
703	40756	17136
704	40818	17080
705	40877	17022
706	40934	16964
707	40998	16908
708	41052	16849
709	41111	16792
710	41173	16735
711	41240	16681
712	41291	16621
713	41349	16562
714	41410	16506
715	41473	16450
716	41544	16397
717	41599	16338
718	41655	16279
719	41713	16221
720	41778	16166
721	41859	16117
722	41924	16062
723	41991	16007
724	42057	15952
725	42125	15898
726	42180	15839
727	42240	15782
728	42304	15726
729	42373	15672
730	42431	15614
731	42492	15557
732	42556	15501
733	42624	15447
734	42684	15389
735	42746	15333
736	42804	15274
737	42874	15221
738	42942	15166
739	43005	15110
740	43070	15054
741	43132	14997
742	43188	14938
743	43244	14879
744	43309	14823
745	43371	14767
746	43436	14711
747	43497	14654
748	43561	14598
749	43623	14541
750	43683	14483
751	43745	14426
752	43803	14368
753	43869	14312
754	43928	14254
755	43986	14196
756	44050	14140
757	44113	14083
758	44177	14027
759	44243	13971
760	44298	13912
761	44346	13851
762	44395	13789
763	44447	13729
764	44509	13672
765	44575	13617
766	44631	13558
767	44683	13498
768	44730	13436
769	44783	13376
770	44835	13316
771	44886	13256
772	44940	13197
773	44993	13137
774	45041	13076
775	45090	13015
776	45138	12954
777	45189	12894
778	45238	12834
779	45288	12773
780	45338	12713
781	45386	12652
782	45439	12593
783	45492	12533
784	45545	12474
785	45591	12412
786	45659	12357
787	45706	12296
788	45754	12235
789	45800	12174
790	45849	12114
791	45896	12053
792	45945	11993
793	45999	11934
794	46050	11874
795	46103	11815
796	46170	11759
797	46222	11700
798	46279	11642
799	46326	11581
800	46372	11520
801	46417	11459
802	46468	11400
803	46516	11339
804	46562	11279
805	46620	11221
806	46671	11161
807	46717	11101
808	46766	11041
809	46816	10981
810	46862	10921
811	46911	10861
812	46967	10803
813	47015	10743
814	47065	10683
815	47119	10625
816	47169	10565
817	47218	10505
818	47266	10446
819	47316	10386
820	47381	10330
821	47450	10275
822	47528	10221
823	47574	10161
824	47623	10101
825	47687	10045
826	47741	9987
827	47789	9927
828	47831	9866
829	47886	9807
830	47931	9747
831	47984	9689
832	48026	9628
833	48069	9567
834	48112	9507
835	48164	9448
836	48238	9394
837	48317	9340
838	48374	9282
839	48415	9222
840	48460	9162
841	48508	9102
842	48554	9042
843	48601	8983
844	48661	8926
845	48731	8870
846	48793	8814
847	48851	8756
848	48918	8700
849	48997	8646
850	49064	8590
851	49134	8535
852	49185	8476
853	49228	8416
854	49280	8357
855	49334	8299
856	49401	8243
857	49476	8188
858	49544	8132
859	49589	8072
860	49641	8014
861	49694	7955
862	49742	7896
863	49794	7838
864	49842	7778
865	49893	7720
866	49944	7661
867	49989	7602
868	50034	7542
869	50087	7484
870	50136	7425
871	50188	7367
872	50242	7309
873	50302	7251
874	50356	7193
875	50411	7135
876	50462	7077
877	50526	7020
878	50603	6965
879	50671	6909
880	50721	6851
881	50778	6793
882	50828	6734
883	50879	6676
884	50924	6617
885	50985	6560
886	51034	6501
887	51081	6442
888	51136	6384
889	51181	6325
890	51231	6267
891	51278	6208
892	51334	6151
893	51393	6093
894	51440	6034
895	51492	5976
896	51540	5918
897	51600	5861
898	51740	5812
899	51939	5771
900	52076	5722
901	52159	5667
902	52227	5610
903	52290	5552
904	52354	5495
905	52416	5438
906	52481	5381
907	52542	5323
908	52593	5265
909	52649	5207
910	52714	5149
911	52778	5092
912	52837	5034
913	52896	4977
914	52959	4919
915	53019	4862
916	53081	4804
917	53137	4746
918	53198	4688
919	53261	4631
920	53330	4574
921	53401	4517
922	53479	4461
923	53545	4404
924	53613	4347
925	53678	4289
926	53790	4235
927	53844	4177
928	53899	4119
929	53969	4062
930	54035	4004
931	54113	3948
932	54177	3890
933	54243	3833
934	54301	3774
935	54364	3717
936	54432	3659
937	54503	3602
938	54598	3546
939	54657	3488
940	54718	3430
941	54775	3372
942	54834	3314
943	54896	3256
944	54991	3200
945	55054	3142
946	55116	3084
947	55172	3026
948	55227	2967
949	55281	2909
950	55337	2851
951	55393	2792
952	55455	2734
953	55520	2677
954	55584	2619
955	55656	2561
956	55727	2503
957	55789	2445
958	55858	2388
959	55922	2330
960	55988	2272
961	56057	2214
962	56121	2156
963	56185	2098
964	56250	2040
965	56325	1982
966	56390	1924
967	56451	1866
968	56516	1808
969	56580	1749
970	56639	1691
971	56699	1633
972	56758	1575
973	56825	1516
974	56885	1458
975	56941	1400
976	56998	1341
977	57063	1283
978	57119	1225
979	57174	1166
980	57239	1108
981	57306	1050
982	57366	992
983	57429	933
984	57490	875
985	57558	817
986	57623	758
987	57690	700
988	57746	642
989	57806	583
990	57865	525
991	57928	467
992	58001	408
993	58064	350
994	58127	292
995	58192	233
996	58258	175
997	58326	116
998	58390	58
999	58448	0
