iter	MultiClass
0	1.154594532
1	0.9800139967
2	0.8562710731
3	0.7426539271
4	0.6599310759
5	0.5883845266
6	0.5310829927
7	0.474530544
8	0.4242626091
9	0.3849899218
10	0.3458031109
11	0.3128032223
12	0.2831998754
13	0.2568915227
14	0.2352611768
15	0.2122639263
16	0.1934369851
17	0.1767407663
18	0.1618820122
19	0.1476363173
20	0.1404336764
21	0.1294488674
22	0.1202148177
23	0.1124588669
24	0.107585363
25	0.1015562982
26	0.09577761088
27	0.08861248528
28	0.08252863489
29	0.07662547182
30	0.07142054351
31	0.0669392375
32	0.06252391634
33	0.05939751251
34	0.05618982575
35	0.05400602548
36	0.0512990971
37	0.048176505
38	0.04645399197
39	0.04341347526
40	0.04067104088
41	0.04035316725
42	0.03988482352
43	0.03811877246
44	0.03680219618
45	0.03628911019
46	0.03518903572
47	0.0339028918
48	0.03321126186
49	0.03144883033
50	0.03137061815
51	0.03082488799
52	0.03045965179
53	0.03001511655
54	0.02832826279
55	0.028049609
56	0.02785436464
57	0.02623268922
58	0.02587365105
59	0.02527942912
60	0.02522307101
61	0.02507290436
62	0.02501386705
63	0.02490596353
64	0.02486418439
65	0.02448816352
66	0.02445235648
67	0.02326369693
68	0.02318129795
69	0.02316636565
70	0.02271179463
71	0.02174021179
72	0.0213600096
73	0.02133158867
74	0.02129135051
75	0.02126716277
76	0.02115102706
77	0.02076086262
78	0.02053662598
79	0.02031331908
80	0.01985756187
81	0.0190736473
82	0.01874972541
83	0.01870895498
84	0.0179622458
85	0.01793525517
86	0.01718469113
87	0.0165244788
88	0.01650981171
89	0.01602375652
90	0.01556935436
91	0.015131833
92	0.0150576582
93	0.0150330534
94	0.01487965428
95	0.01462622301
96	0.01461638502
97	0.01411779426
98	0.01341065246
99	0.01326127462
100	0.01309480922
101	0.01294197699
102	0.01292822931
103	0.01276129852
104	0.01272939436
105	0.01251343809
106	0.01239882198
107	0.01231221315
108	0.01228051525
109	0.01202872931
110	0.01159728999
111	0.01146961412
112	0.01101512933
113	0.01085422296
114	0.01071635144
115	0.01063432055
116	0.01025965548
117	0.01005149412
118	0.01004342636
119	0.009952278699
120	0.009655299059
121	0.009319507729
122	0.009078439445
123	0.008995358966
124	0.008782745587
125	0.008562417703
126	0.008468016795
127	0.008380035386
128	0.008295277307
129	0.007959188158
130	0.007810079531
131	0.007702915729
132	0.007618547028
133	0.007591767645
134	0.007514204404
135	0.007356631807
136	0.007212815265
137	0.007206784631
138	0.007140551664
139	0.007074710921
140	0.006918719671
141	0.006708367185
142	0.006701913052
143	0.006661833299
144	0.006590968935
145	0.00654583728
146	0.006438962776
147	0.006433752912
148	0.006426541348
149	0.006372404814
150	0.006343147323
151	0.006314305946
152	0.006260360851
153	0.006199504936
154	0.006188976619
155	0.006127540366
156	0.005983213303
157	0.005927808219
158	0.005918137803
159	0.005885288481
160	0.005764669412
161	0.005723859955
162	0.005630217451
163	0.00562700495
164	0.005610454084
165	0.005606606738
166	0.005603597754
167	0.005547898936
168	0.005501838379
169	0.005497740618
170	0.005478130449
171	0.005334695102
172	0.005309153131
173	0.005301437825
174	0.005291463811
175	0.005192172309
176	0.005145835498
177	0.005115504467
178	0.005075484352
179	0.005065006859
180	0.005038390589
181	0.005003360257
182	0.004962564763
183	0.004923198675
184	0.004910529053
185	0.004847908707
186	0.004755600018
187	0.004716317734
188	0.004613529319
189	0.00461227109
190	0.004610180191
191	0.004605195812
192	0.004594942576
193	0.004540760191
194	0.004531687286
